title,description,size,availability,price
Стеллаж металлический Профи-Т 2500х1845х1005 (4 полки из фанеры),"
ВхШхГ, мм: 2500х1845х1005
Вес, кг: 96
",['2500х1845х1005'],Есть в наличии,26 160 руб.
Стеллаж односторонний №17 (1835х950х510),"
ВхШхГ, мм: 1835х950х510
Вес, кг: 72
",['1835х950х510'],Есть в наличии,50 650 руб.
Стеллаж с пластиковыми ящиками 1801-6/6/2 CH,"
ВхШхГ, мм: 1800х1000х360
",['1800х1000х360'],Есть в наличии,26 560 руб.
Стеллаж металлический ТС Лайт 2200х1200х300 (4 перфорированные полки),"
ВхШхГ, мм: 2200х1200х300
Вес, кг: 18
",['2200х1200х300'],Есть в наличии,11 000 руб.
Стеллаж металлический Профи-Т 2500х1240х455 (4 сплошные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2500х1240х455
Вес, кг: 52
",['2500х1240х455'],Есть в наличии,20 730 руб.
Стеллаж металлический Профи-Т 2500х1540х455 (4 перфорированные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2500х1540х455
Вес, кг: 59
",['2500х1540х455'],Есть в наличии,26 930 руб.
Стеллаж MS STANDART 2550х700х600 (8 полок),"
ВхШхГ, мм: 2550х700х600
Вес, кг: 30.96
",['2550х700х600'],Есть в наличии,9 100 руб.
Стеллаж металлический Профи-Т 3000х1540х500 (5 полок из фанеры),"
ВхШхГ, мм: 3000х1540х500
Вес, кг: 73
",['3000х1540х500'],Есть в наличии,22 700 руб.
Стеллаж Everest Beamy LUXURY 1800х900х500 (4 металлические полки),"
ВхШхГ, мм: 1800х900х500
",['1800х900х500'],Есть в наличии,10 400 руб.
Стеллаж MS STRONG 2750х1000х600 (6 полок),"
ВхШхГ, мм: 2750х1000х600
Вес, кг: 34.12
",['2750х1000х600'],Есть в наличии,9 620 руб.
Стеллаж СФМ 3500х1750х800 (3 яруса с настилом) RAL,"
ВхШхГ, мм: 3500х1750х800
",['3500х1750х800'],Есть в наличии,19 790 руб.
Стеллаж металлический Профи-Т 2000х1540х655 (3 сплошные оцинкованные мет. полки),"
ВхШхГ, мм: 2000х1540х655
Вес, кг: 52
",['2000х1540х655'],Есть в наличии,20 410 руб.
Стеллаж металлический Профи-Т 2000х1540х770 (4 полки из фанеры),"
ВхШхГ, мм: 2000х1540х770
Вес, кг: 69
",['2000х1540х770'],Есть в наличии,17 610 руб.
Стеллаж металлический Профи-Т 3000х1240х770 (5 полок из фанеры),"
ВхШхГ, мм: 3000х1240х770
Вес, кг: 79
",['3000х1240х770'],Есть в наличии,24 360 руб.
Стеллаж SGR-V 1884-2.5,"
ВхШхГ, мм: 2500х1800х800
Вес, кг: 93.6
",['2500х1800х800'],Есть в наличии,31 860 руб.
Стеллаж МС-500 1800х700х600 (5 полок МС-100),"
ВхШхГ, мм: 1800х700х600
",['1800х700х600'],Есть в наличии,5 850 руб.
Стеллаж металлический ТС Лайт 2000х700х500 (4 перфорированные полки),"
ВхШхГ, мм: 2000х700х500
Вес, кг: 15
",['2000х700х500'],Есть в наличии,8 150 руб.
Стеллаж MS STRONG 3100х1000х600 (8 полок),"
ВхШхГ, мм: 3100х1000х600
Вес, кг: 43.76
",['3100х1000х600'],Есть в наличии,11 960 руб.
