title,availability,price,category,shop,manufacturer,width,height
Столик стоматологический СС-04,Есть в наличии,15 300 руб.,Медицинская мебель,5,,,
Столик медицинский прикроватный МСК-6511 (СтПр-МСК),Нет в наличии,16 350 руб.,Медицинская мебель,5,,,
Столик медицинский для забора крови МСК-517 (СтМ-МСК),Нет в наличии,6 630 руб.,Медицинская мебель,5,,,
Столик процедурный МСК-501-01М,Нет в наличии,5 970 руб.,Медицинская мебель,5,,,
Столик процедурный МСК-501-02М,Нет в наличии,7 230 руб.,Медицинская мебель,5,,,
Стол медицинский для врача МД-301.13 (СМВ-МСК),Нет в наличии,6 570 руб.,Медицинская мебель,5,,,
Стол медицинский для врача МД-304.01 (СМВ-МСК),Нет в наличии,8 390 руб.,Медицинская мебель,5,,,
Стол медицинской сестры МД-901 (ПДМС-МСК),Нет в наличии,32 620 руб.,Медицинская мебель,5,,,
Стол медицинский инструментальный МСК-673.120.01 (СиМК-МСК),Нет в наличии,24 540 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02 (полки металл, колёса серая резина)",Есть в наличии,7 090 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-03-01 (полки металл, колёса пластик)",Есть в наличии,11 720 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-03-01 (полки нерж., колёса серая резина)",Есть в наличии,14 350 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02-02 (полки нерж., колёса серая резина)",Есть в наличии,15 070 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02-02 (полки металл, колёса пластик)",Есть в наличии,13 120 руб.,Медицинская мебель,5,,,
"Столик медицинский инструментальный СМИ-02-01 (полки металл, колёса пластик)",Есть в наличии,10 320 руб.,Медицинская мебель,5,,,
Тумба медицинская ПРАКТИК МД ТП-3,Есть в наличии,6 040 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02 (полки нерж., колёса серая резина)",Есть в наличии,7 910 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02-02 (полки металл, колёса серая резина)",Есть в наличии,13 730 руб.,Медицинская мебель,5,,,
Тумба медицинская МД ТП-9,Есть в наличии,12 880 руб.,Медицинская мебель,5,,,
Стол рабочий Ср (1200х600х750) (ЛДСП белый),Есть в наличии,7 380 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02 (полки стекло, колёса пластик)",Есть в наличии,6 600 руб.,Медицинская мебель,5,,,
"Столик медицинский инструментальный СМИ-03 (полки металл, колёса серая резина)",Есть в наличии,8 790 руб.,Медицинская мебель,5,,,
"Столик медицинский инструментальный СМИ-02-01 (полки металл + стекло, колёса пластик)",Есть в наличии,9 930 руб.,Медицинская мебель,5,,,
Стол инструментальный (колеса резина) СИ-2с (каркас белый),Есть в наличии,9 180 руб.,Медицинская мебель,5,,,
Банкетка медицинская металлическая,Есть в наличии,8 540 руб.,Медицинская мебель,5,,,
Банкетка медицинская МСК-208 (БЛ-МСК),Нет в наличии,8 230 руб.,Медицинская мебель,5,,,
Банкетка медицинская 4Hospitals МСК-239 (БМ-МСК),Нет в наличии,7 140 руб.,Медицинская мебель,5,,,
Банкетка медицинская 4Hospitals МСК-240 (БМС-МСК),Нет в наличии,10 390 руб.,Медицинская мебель,5,,,
Банкетка медицинская Б01 (Чёрный),Есть в наличии,5 790 руб.,Медицинская мебель,5,,,
Банкетка медицинская со спинкой БС01 (Чёрный),Есть в наличии,9 630 руб.,Медицинская мебель,5,,,
Диван медицинский (банкетка) Д01 (Чёрный),Есть в наличии,11 970 руб.,Медицинская мебель,5,,,
Банкетка одноместная БО-2/1 (кожзам Эконом белый),Есть в наличии,10 360 руб.,Медицинская мебель,5,,,
"Банкетка двухместная БО-3/2 (кожзам Эконом белый, каркас черный)",Есть в наличии,14 650 руб.,Медицинская мебель,5,,,
"Банкетка одноместная БО-3/1 (кожзам Эконом белый, каркас белый)",Есть в наличии,9 880 руб.,Медицинская мебель,5,,,
"Банкетка двухместная БСУ-2х (кожзам Эконом белый, каркас белый)",Есть в наличии,5 330 руб.,Медицинская мебель,5,,,
"Банкетка двухместная Бп-2х (кожзам Эконом коричневый, каркас бежевый)",Есть в наличии,6 310 руб.,Медицинская мебель,5,,,
"Банкетка трехместная Бп-3х (кожзам Эконом коричневый, каркас бежевый)",Есть в наличии,8 310 руб.,Медицинская мебель,5,,,
"Банкетка трехместная БУ-3х (кожзам Эконом светло-серый, каркас белый)",Есть в наличии,7 750 руб.,Медицинская мебель,5,,,
Кушетка медицинская смотровая К01 (Чёрный),Есть в наличии,13 210 руб.,Медицинская мебель,5,,,
Кушетка медицинская смотровая К02 (Чёрный),Есть в наличии,13 210 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШСС-1,Есть в наличии,16 870 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-1,Есть в наличии,15 330 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-1 с трейзером,Есть в наличии,17 430 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШММ-1,Есть в наличии,18 830 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-2,Есть в наличии,19 290 руб.,Медицинская мебель,5,,,
Органайзер для СИПС-Н-01,Есть в наличии,3 350 руб.,Медицинская мебель,5,,,
Табурет винтовой Т04 (Чёрный),Есть в наличии,4 520 руб.,Медицинская мебель,5,,,
Табурет Т04-1 (Чёрный),Есть в наличии,5 400 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШСС-2,Есть в наличии,19 880 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-1-Т-Р-1,Есть в наличии,19 980 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШММ-1-Т,Есть в наличии,20 230 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШММ-1-Р-1,Есть в наличии,21 030 руб.,Медицинская мебель,5,,,
Аптечка G32/1,Есть в наличии,3 070 руб.,Медицинская мебель,5,,,
Аптечка G45/2,Есть в наличии,6 350 руб.,Медицинская мебель,5,,,
Аптечка D36,Есть в наличии,6 580 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-1-А-Р-1,Есть в наличии,21 440 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-2-Р-2,Есть в наличии,22 720 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-2 с трейзером,Есть в наличии,22 450 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-1-А-Т-Р-1,Есть в наличии,23 890 руб.,Медицинская мебель,5,,,
Аптечка G39,Есть в наличии,2 330 руб.,Медицинская мебель,5,,,
Рециркулятор бактерицидный с корпусом из нержавеющей стали МСК-5911Б,Есть в наличии,19 470 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-2-Р-2-Ц,Есть в наличии,24 310 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-1-Т-Р-3,Есть в наличии,24 860 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШММ-1-Р-3,Есть в наличии,25 920 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-1-А-Р-2/1,Есть в наличии,26 350 руб.,Медицинская мебель,5,,,
Стойка для дозатора СД-1 (Чёрный),Есть в наличии,2 480 руб.,Медицинская мебель,5,,,
Стойка для дозатора СД-2 (Чёрный),Есть в наличии,2 750 руб.,Медицинская мебель,5,,,
Стойка для дозатора СД-4 (Чёрный),Есть в наличии,3 240 руб.,Медицинская мебель,5,,,
Стойка для дозатора СД-5 (телескопическая) (Чёрный),Есть в наличии,2 730 руб.,Медицинская мебель,5,,,
Стойка для дозатора СД-6 (с флаконом 1 л) (Чёрный),Есть в наличии,2 210 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШММ-2-Р-2-Ц,Есть в наличии,27 100 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-1-А-Т-Р-2/1,Есть в наличии,28 800 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-2-А-Р-2,Есть в наличии,29 880 руб.,Медицинская мебель,5,,,
Шкаф медицинский для инструментария и медикаментов,Есть в наличии,31 350 руб.,Медицинская мебель,5,,,
Стойка для дозатора СД-7 (Чёрный),Есть в наличии,2 930 руб.,Медицинская мебель,5,,,
Держатель для антисептика настенный локтевой ДЛТ-1 (с флаконом 1 л) (Чёрный),Есть в наличии,1 040 руб.,Медицинская мебель,5,,,
Держатель для антисептика настенный локтевой ДЛТ-1 (без флакона) (Чёрный),Есть в наличии,1 040 руб.,Медицинская мебель,5,,,
Подлокотник (второй) к креслу КСЭМ-05,Нет в наличии,5 690 руб.,Медицинская мебель,5,,,
Плевательница к креслу КСЭМ-05,Нет в наличии,18 980 руб.,Медицинская мебель,5,,,
Светильник галогеновый к креслу КСЭМ-05,Нет в наличии,37 990 руб.,Медицинская мебель,5,,,
Светильник светодиодный к креслу КСЭМ-05,Нет в наличии,51 280 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМС-2-Р-4/2,Есть в наличии,31 660 руб.,Медицинская мебель,5,,,
Инфузионная стойка к креслу КСЭМ-05-01,Нет в наличии,12 450 руб.,Медицинская мебель,5,,,
комплект колёс к креслу КСЭМ-05-01,Нет в наличии,3 810 руб.,Медицинская мебель,5,,,
Шкаф для кабинета врача ШКВ-01,Есть в наличии,29 850 руб.,Медицинская мебель,5,,,
Шкаф для уборочного инвентаря МСК-649 (ШМм-МСК-649),Есть в наличии,24 430 руб.,Медицинская мебель,5,,,
Шкаф медицинский МД 2 ШМ,Есть в наличии,19 360 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 1 ШМ-SSD,Есть в наличии,32 300 руб.,Медицинская мебель,5,,,
Медицинский шкаф HILFE МД 2 ШМ-SSR,Есть в наличии,43 890 руб.,Медицинская мебель,5,,,
Медицинский шкаф HILFE МД 2 ШМ-SSK,Есть в наличии,59 930 руб.,Медицинская мебель,5,,,
Шкаф медицинский двухстворчатый со стеклом и ящиками ШМЛЯ СКБ-2С,Есть в наличии,22 760 руб.,Медицинская мебель,5,,,
Шкаф для медикаментов металлический ШМ (белый),Есть в наличии,33 800 руб.,Медицинская мебель,5,,,
Шкаф медицинский МСК-5647.01-11 (ШМ-04) нерж.сталь,Есть в наличии,121 700 руб.,Медицинская мебель,5,,,
Шкаф для медикаментов металлический ШМ.1 (белый),Есть в наличии,31 410 руб.,Медицинская мебель,5,,,
Шкаф для медикаментов стекло/металл ШМ-2 (белый),Есть в наличии,33 800 руб.,Медицинская мебель,5,,,
Шкаф для медикаментов стекло/металл ШМ-2.1 (белый),Есть в наличии,31 410 руб.,Медицинская мебель,5,,,
Шкаф для медикаментов (стекло) ШМ-3 (белый),Есть в наличии,51 240 руб.,Медицинская мебель,5,,,
Шкаф для медикаментов (стекло) ШМ-3.1 (белый),Есть в наличии,47 000 руб.,Медицинская мебель,5,,,
"Шкаф металлический для медикаментов, с ящиками ШдМ-2 (белый)",Есть в наличии,48 960 руб.,Медицинская мебель,5,,,
"Шкаф металлический для медикаментов, с ящиками ШдМ-2.1 (белый)",Есть в наличии,42 730 руб.,Медицинская мебель,5,,,
"Шкаф металлический для медикаментов (стекло), с ящиками ШдМ-3 (белый)",Есть в наличии,48 960 руб.,Медицинская мебель,5,,,
"Шкаф металлический для медикаментов (стекло), с ящиками ШдМ-3.1 (белый)",Есть в наличии,42 730 руб.,Медицинская мебель,5,,,
Шкаф металлический для медикаментов с сейфом ШдМ-4 (белый),Есть в наличии,40 740 руб.,Медицинская мебель,5,,,
Шкаф металлический для медикаментов с сейфом ШдМ-4.1 (белый),Есть в наличии,36 030 руб.,Медицинская мебель,5,,,
Шкаф металлический для медикаментов с сейфом (стекло) ШдМ-5 (белый),Есть в наличии,40 740 руб.,Медицинская мебель,5,,,
Шкаф металлический для медикаментов с сейфом (стекло) ШдМ-5.1 (белый),Есть в наличии,36 030 руб.,Медицинская мебель,5,,,
"Шкаф для медикаментов стекло в металлической рамке, с ящиками ШМ-4 (белый)",Есть в наличии,85 700 руб.,Медицинская мебель,5,,,
"Шкаф для медикаментов стекло в металлической рамке, с ящиками ШМ-4.1 (белый)",Есть в наличии,83 410 руб.,Медицинская мебель,5,,,
Шкаф для медикаментов ШМ-5 (белый),Есть в наличии,89 780 руб.,Медицинская мебель,5,,,
Шкаф для медикаментов ШМ-5.1 (белый),Есть в наличии,86 470 руб.,Медицинская мебель,5,,,
Шкаф для медикаментов ШМ-6 (белый),Есть в наличии,94 280 руб.,Медицинская мебель,5,,,
Шкаф для медикаментов ШМ-6.1 (белый),Есть в наличии,90 790 руб.,Медицинская мебель,5,,,
Шкаф металлический для медикаментов с сейфом ШдМ (белый),Есть в наличии,72 970 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМД-01,Есть в наличии,23 280 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМД-02,Есть в наличии,24 340 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШМД-05,Есть в наличии,30 900 руб.,Медицинская мебель,5,,,
Шкаф медицинский М1 165.57.32 C,Есть в наличии,12 160 руб.,Медицинская мебель,5,,,
Шкаф медицинский М1 175.60.40 C,Есть в наличии,15 540 руб.,Медицинская мебель,5,,,
Шкаф медицинский двухсекционный одностворчатый ШМ СКБ-1М,Есть в наличии,22 510 руб.,Медицинская мебель,5,,,
Шкаф медицинский односекционный одностворчатый ШМ1 СКБ-М,Есть в наличии,22 460 руб.,Медицинская мебель,5,,,
Шкаф медицинский двухсекционный одностворчатый ШМС СКБ-1СМ,Есть в наличии,22 930 руб.,Медицинская мебель,5,,,
Шкаф медицинский двухсекционный одностворчатый ШМСт СКБ-Д,Есть в наличии,20 880 руб.,Медицинская мебель,5,,,
Шкаф медицинский МСК-5646.01-11 (ШМ-03) нерж.сталь,Есть в наличии,93 610 руб.,Медицинская мебель,5,,,
Шкаф медицинский односекционный стеллаж-ящик ШМСт СКБ-Я,Есть в наличии,32 270 руб.,Медицинская мебель,5,,,
Шкаф медицинский двухсекционный одностворчатый с ящиками ШМЯ СКБ-1С,Есть в наличии,33 510 руб.,Медицинская мебель,5,,,
Шкаф медицинский - стеллаж ШМСт СКБ-1,Нет в наличии,18 490 руб.,Медицинская мебель,5,,,
Шкаф медицинский двухсекционный одностворчатый ШМЛС СКБ,Есть в наличии,11 590 руб.,Медицинская мебель,5,,,
Шкаф медицинский двухсекционный одностворчатый ШМЛ СКБ,Есть в наличии,12 110 руб.,Медицинская мебель,5,,,
Шкаф медицинский одностворчатый двухсекционный с ящиками ШМЛЯ СКБ-С,Есть в наличии,14 150 руб.,Медицинская мебель,5,,,
