title,size,price
"

                                    Держатель для полотенец                                 


Высота, мм
92


Ширина, мм
360


Глубина, мм
126



","[<td class=""bxr-props-table-value"">92</td>, <td class=""bxr-props-table-value"">360</td>, <td class=""bxr-props-table-value"">126</td>]",585 руб.
"

                                    Полка малая SSh                                 


Высота, мм
70


Ширина, мм
327


Глубина, мм
151



","[<td class=""bxr-props-table-value"">70</td>, <td class=""bxr-props-table-value"">327</td>, <td class=""bxr-props-table-value"">151</td>]",384 руб.
"

                                    Комплект WS-6                                 


Высота, мм
1700


Ширина, мм
665


Глубина, мм
640



","[<td class=""bxr-props-table-value"">1700</td>, <td class=""bxr-props-table-value"">665</td>, <td class=""bxr-props-table-value"">640</td>]",73 601 руб.
"

                                    Шкаф инструментальный TC-1947-000202ГК                                 


Высота, мм
1900


Ширина, мм
475


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1900</td>, <td class=""bxr-props-table-value"">475</td>, <td class=""bxr-props-table-value"">500</td>]",24 246 руб.
"

                                    Инструментальная тележка Garage Big                                 


Высота, мм
1850*/1930


Ширина, мм
722


Глубина, мм
515



","[<td class=""bxr-props-table-value"">1850*/1930</td>, <td class=""bxr-props-table-value"">722</td>, <td class=""bxr-props-table-value"">515</td>]",10 570 руб.
"

                                    Инструментальный шкаф HARD 2000-033011                                 


Высота, мм
1998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">1998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",106 788 руб.
"

                                    Шкаф инструментальный TC-1995/2-024010                                 


Высота, мм
1900


Ширина, мм
950


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1900</td>, <td class=""bxr-props-table-value"">950</td>, <td class=""bxr-props-table-value"">500</td>]",37 940 руб.
"

                                    Инструментальный шкаф HARD 2000-033013                                 


Высота, мм
1998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">1998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",121 772 руб.
"

                                    Инструментальный шкаф HARD 1000-001010                                 


Высота, мм
998


Ширина, мм
1150


Глубина, мм
650



","[<td class=""bxr-props-table-value"">998</td>, <td class=""bxr-props-table-value"">1150</td>, <td class=""bxr-props-table-value"">650</td>]",61 418 руб.
"

                                    TC перегородка вертикальная TCD-900                                 


Высота, мм
900


Ширина, мм
470


Глубина, мм
40



","[<td class=""bxr-props-table-value"">900</td>, <td class=""bxr-props-table-value"">470</td>, <td class=""bxr-props-table-value"">40</td>]",2 292 руб.
"

                                    TC перегородка вертикальная TCD-1800/2                                 


Высота, мм
730


Ширина, мм
945


Глубина, мм
470



","[<td class=""bxr-props-table-value"">730</td>, <td class=""bxr-props-table-value"">945</td>, <td class=""bxr-props-table-value"">470</td>]",3 669 руб.
"

                                    Крючок НК 3                                 


Высота, мм
60


Ширина, мм
25


Глубина, мм
130



","[<td class=""bxr-props-table-value"">60</td>, <td class=""bxr-props-table-value"">25</td>, <td class=""bxr-props-table-value"">130</td>]",256 руб.
"

                                    Держатель ключей WH                                 


Высота, мм
70


Ширина, мм
250


Глубина, мм
151



","[<td class=""bxr-props-table-value"">70</td>, <td class=""bxr-props-table-value"">250</td>, <td class=""bxr-props-table-value"">151</td>]",334 руб.
"

                                    Верстак Profi (№ 109) WT100.F1/F1.100                                 


Высота, мм
880


Ширина, мм
1000


Глубина, мм
700



","[<td class=""bxr-props-table-value"">880</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">700</td>]",22 425 руб.
"

                                    Шкаф инструментальный TC-1995/2-121215                                 


Высота, мм
1900


Ширина, мм
950


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1900</td>, <td class=""bxr-props-table-value"">950</td>, <td class=""bxr-props-table-value"">500</td>]",56 560 руб.
"

                                    TC экран перфорированный TCS 50x43                                 


Высота, мм
500


Ширина, мм
435


Глубина, мм
20



","[<td class=""bxr-props-table-value"">500</td>, <td class=""bxr-props-table-value"">435</td>, <td class=""bxr-props-table-value"">20</td>]",1 031 руб.
"

                                    Инструментальная тележка WDS-6.0 new                                 


Высота, мм
905


Ширина, мм
860


Глубина, мм
540



","[<td class=""bxr-props-table-value"">905</td>, <td class=""bxr-props-table-value"">860</td>, <td class=""bxr-props-table-value"">540</td>]",46 576 руб.
"

                                    Комплект боковых экранов Garage MS                                 


Высота, мм
500


Ширина, мм
398


Глубина, мм
20



","[<td class=""bxr-props-table-value"">500</td>, <td class=""bxr-props-table-value"">398</td>, <td class=""bxr-props-table-value"">20</td>]",1 486 руб.
"

                                    Держатель для шестигранников                                 


Высота, мм
40


Ширина, мм
160


Глубина, мм
50



","[<td class=""bxr-props-table-value"">40</td>, <td class=""bxr-props-table-value"">160</td>, <td class=""bxr-props-table-value"">50</td>]",225 руб.
"

                                    Верстак Profi (№203) WT120.WD1/F1.010                                 


Высота, мм
1366


Ширина, мм
1200


Глубина, мм
700



","[<td class=""bxr-props-table-value"">1366</td>, <td class=""bxr-props-table-value"">1200</td>, <td class=""bxr-props-table-value"">700</td>]",24 221 руб.
