title,availability,price,category,shop,weight
Шкаф медицинский для инструментария и медикаментов,1,34740.0,Медицинская мебель,Железная мебель,[]
Стойка для дозатора СД-7 (Чёрный),1,3870.0,Медицинская мебель,Железная мебель,[]
Держатель для антисептика настенный локтевой ДЛТ-1 (с флаконом 1 л) (Чёрный),1,1380.0,Медицинская мебель,Железная мебель,[]
Держатель для антисептика настенный локтевой ДЛТ-1 (без флакона) (Чёрный),1,1380.0,Медицинская мебель,Железная мебель,[]
Подлокотник (второй) к креслу КСЭМ-05,0,5730.0,Медицинская мебель,Железная мебель,[]
Плевательница к креслу КСЭМ-05,0,19110.0,Медицинская мебель,Железная мебель,[]
Светильник галогеновый к креслу КСЭМ-05,0,38250.0,Медицинская мебель,Железная мебель,[]
Светильник светодиодный к креслу КСЭМ-05,0,51630.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-2-Р-4/2,1,35090.0,Медицинская мебель,Железная мебель,[]
Инфузионная стойка к креслу КСЭМ-05-01,0,12540.0,Медицинская мебель,Железная мебель,[]
комплект колёс к креслу КСЭМ-05-01,0,3840.0,Медицинская мебель,Железная мебель,[]
Шкаф для кабинета врача ШКВ-01,1,33070.0,Медицинская мебель,Железная мебель,[]
Шкаф для уборочного инвентаря МСК-649 (ШМм-МСК-649),1,24430.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский МД 2 ШМ,1,18860.0,Медицинская мебель,Железная мебель,['47']
Шкаф медицинский HILFE МД 1 ШМ-SSD,1,31470.0,Медицинская мебель,Железная мебель,['43']
Медицинский шкаф HILFE МД 2 ШМ-SSR,1,42760.0,Медицинская мебель,Железная мебель,['58']
Медицинский шкаф HILFE МД 2 ШМ-SSK,1,58390.0,Медицинская мебель,Железная мебель,['70']
Шкаф медицинский двухстворчатый со стеклом и ящиками ШМЛЯ СКБ-2С,1,22920.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов металлический ШМ (белый),1,32770.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский МСК-5647.01-11 (ШМ-04) нерж.сталь,1,121700.0,Медицинская мебель,Железная мебель,['45']
Шкаф для медикаментов металлический ШМ.1 (белый),1,30460.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов стекло/металл ШМ-2 (белый),1,32770.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов стекло/металл ШМ-2.1 (белый),1,30460.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов (стекло) ШМ-3 (белый),1,49690.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов (стекло) ШМ-3.1 (белый),1,45580.0,Медицинская мебель,Железная мебель,[]
"Шкаф металлический для медикаментов, с ящиками ШдМ-2 (белый)",1,47470.0,Медицинская мебель,Железная мебель,[]
"Шкаф металлический для медикаментов, с ящиками ШдМ-2.1 (белый)",1,41440.0,Медицинская мебель,Железная мебель,[]
"Шкаф металлический для медикаментов (стекло), с ящиками ШдМ-3 (белый)",1,47470.0,Медицинская мебель,Железная мебель,[]
"Шкаф металлический для медикаментов (стекло), с ящиками ШдМ-3.1 (белый)",1,41440.0,Медицинская мебель,Железная мебель,[]
Шкаф металлический для медикаментов с сейфом ШдМ-4 (белый),1,39500.0,Медицинская мебель,Железная мебель,[]
Шкаф металлический для медикаментов с сейфом ШдМ-4.1 (белый),1,34930.0,Медицинская мебель,Железная мебель,[]
Шкаф металлический для медикаментов с сейфом (стекло) ШдМ-5 (белый),1,39500.0,Медицинская мебель,Железная мебель,[]
Шкаф металлический для медикаментов с сейфом (стекло) ШдМ-5.1 (белый),1,34930.0,Медицинская мебель,Железная мебель,[]
"Шкаф для медикаментов стекло в металлической рамке, с ящиками ШМ-4 (белый)",1,83110.0,Медицинская мебель,Железная мебель,[]
"Шкаф для медикаментов стекло в металлической рамке, с ящиками ШМ-4.1 (белый)",1,80880.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов ШМ-5 (белый),1,87060.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов ШМ-5.1 (белый),1,83850.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов ШМ-6 (белый),1,91420.0,Медицинская мебель,Железная мебель,[]
Шкаф для медикаментов ШМ-6.1 (белый),1,88040.0,Медицинская мебель,Железная мебель,[]
Шкаф металлический для медикаментов с сейфом ШдМ (белый),1,70760.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМД-01,1,25800.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМД-02,1,26980.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМД-05,1,34240.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский М1 165.57.32 C,1,12680.0,Медицинская мебель,Железная мебель,['28']
Шкаф медицинский М1 175.60.40 C,1,16210.0,Медицинская мебель,Железная мебель,['31']
Шкаф медицинский двухсекционный одностворчатый ШМ СКБ-1М,1,22660.0,Медицинская мебель,Железная мебель,['40.2']
Шкаф медицинский односекционный одностворчатый ШМ1 СКБ-М,1,22620.0,Медицинская мебель,Железная мебель,['39']
Шкаф медицинский двухсекционный одностворчатый ШМС СКБ-1СМ,1,23080.0,Медицинская мебель,Железная мебель,['42.3']
Шкаф медицинский двухсекционный одностворчатый ШМСт СКБ-Д,1,21030.0,Медицинская мебель,Железная мебель,['36.3']
Шкаф медицинский МСК-5646.01-11 (ШМ-03) нерж.сталь,1,93610.0,Медицинская мебель,Железная мебель,['39']
