title,price,category,shop,height,width,depth
"Стеллаж складской 2500*1000*300 мм, 6 полок","
 7 664 руб.
",Металлическая мебель (Стеллажи),4,2500.0,1000.0,300.0
"Стеллаж складской 2500*1000*400 мм, 6 полок","
 8 702 руб.
",Металлическая мебель (Стеллажи),4,2500.0,1000.0,400.0
"Стеллаж складской 2000*1200*400 мм, 5 полок","
 8 929 руб.
",Металлическая мебель (Стеллажи),4,2000.0,1200.0,400.0
"Стеллаж складской 2000*1200*500 мм, 5 полок","
 10 409 руб.
",Металлическая мебель (Стеллажи),4,2000.0,1200.0,500.0
"Стеллаж для склада 1500*1400*300 мм, 2 секции, 8 полок","
 8 024 руб.
",Металлическая мебель (Стеллажи),4,1500.0,1400.0,300.0
"Стеллаж складской 1850*2000*400 мм, 8 полок, 2 секции","
 10 848 руб.
",Металлическая мебель (Стеллажи),4,1850.0,2000.0,400.0
"Стеллаж для склада 2000*2000*500 мм, 2 секции, 10 полок","
 14 826 руб.
",Металлическая мебель (Стеллажи),4,2000.0,2000.0,500.0
"Стеллаж для склада 2200*2400*400 мм, 10 полок, 2 секции","
 17 178 руб.
",Металлическая мебель (Стеллажи),4,2200.0,2400.0,400.0
"Стеллаж для склада 2200*2400*300 мм, 12 полок, 2 секции","
 17 724 руб.
",Металлическая мебель (Стеллажи),4,2200.0,2400.0,300.0
"Стеллаж для склада 2350*2400*500 мм, 12 полок, 2 секции","
 23 400 руб.
",Металлическая мебель (Стеллажи),4,2350.0,2400.0,500.0
"Стеллаж для склада 2200*3000*400 мм, 15 полок, 3 секции","
 19 829 руб.
",Металлическая мебель (Стеллажи),4,2200.0,3000.0,400.0
"Стеллаж для склада 2000*3600*400 мм, 12 полок, 3 секции","
 20 540 руб.
",Металлическая мебель (Стеллажи),4,2000.0,3600.0,400.0
"Стеллаж для склада 2500*4500*300 мм, 15 полок, 3 секции","
 27 595 руб.
",Металлическая мебель (Стеллажи),4,2500.0,4500.0,300.0
"Стеллаж для склада 2300*4500*500 мм, 12 полок, 3 секции","
 29 524 руб.
",Металлическая мебель (Стеллажи),4,2300.0,4500.0,500.0
Бухгалтерский шкаф SL-32,"
 6 084 руб.
",Металлическая мебель (Шкафы),4,320.0,420.0,350.0
Бухгалтерский шкаф SL-32Т,"
 6 717 руб.
",Металлическая мебель (Шкафы),4,320.0,450.0,320.0
Бухгалтерский шкаф SL-87T,"
 10 776 руб.
",Металлическая мебель (Шкафы),4,870.0,760.0,340.0
Бухгалтерский шкаф SL-87Т EL,"
 12 306 руб.
",Металлическая мебель (Шкафы),4,870.0,460.0,340.0
Бухгалтерский шкаф SL-125Т,"
 12 867 руб.
",Металлическая мебель (Шкафы),4,1252.0,460.0,340.0
Бухгалтерский шкаф SL-125Т EL,"
 14 397 руб.
",Металлическая мебель (Шкафы),4,1252.0,460.0,340.0
Бухгалтерский шкаф SL-125/2Т,"
 15 560 руб.
",Металлическая мебель (Шкафы),4,1252.0,460.0,340.0
Бухгалтерский шкаф SL-150T,"
 16 346 руб.
",Металлическая мебель (Шкафы),4,1490.0,460.0,340.0
Бухгалтерский шкаф SL-185,"
 18 437 руб.
",Металлическая мебель (Шкафы),4,1800.0,460.0,340.0
Бухгалтерский шкаф SL-185/2,"
 34 685 руб.
",Металлическая мебель (Шкафы),4,1800.0,920.0,340.0
Бухгалтерский шкаф SL-65Т,"
 8 930 руб.
",Металлическая мебель (Шкафы),4,630.0,460.0,340.0
Бухгалтерский шкаф SL-65Т EL,"
 10 460 руб.
",Металлическая мебель (Шкафы),4,630.0,460.0,340.0
Бухгалтерский шкаф SL-150T-EL/2,"
 16 346 руб.
",Металлическая мебель (Шкафы),4,1490.0,460.0,340.0
Шкаф для офиса AM 1891/2U,"
Под заказ
",Металлическая мебель (Шкафы),4,1830.0,915.0,458.0
Шкаф усиленный VALBERG BM-1993KL,"
Под заказ
",Металлическая мебель (Шкафы),4,1950.0,930.0,420.0
Шкаф усиленный VALBERG BM-1260KL,"
Под заказ
",Металлическая мебель (Шкафы),4,1220.0,600.0,420.0
Офисный шкаф AM 1845/4,"
Под заказ
",Металлическая мебель (Шкафы),4,1830.0,472.0,458.0
Архивный шкаф ШАМ-12/680,"
 6 763 руб.
",Металлическая мебель (Шкафы),4,680.0,425.0,500.0
Архивный шкаф - ШАМ-12,"
 13 162 руб.
",Металлическая мебель (Шкафы),4,1860.0,425.0,500.0
Шкаф офисный ПРАКТИК CB-13,"
 14 423 руб.
",Металлическая мебель (Шкафы),4,930.0,850.0,500.0
Офисный шкаф AM 0891,"
 15 035 руб.
",Металлическая мебель (Шкафы),4,832.0,915.0,458.0
Офисный шкаф AM 1845,"
 16 152 руб.
",Металлическая мебель (Шкафы),4,1830.0,472.0,458.0
Архивный шкаф ШАМ-11/400,"
 16 843 руб.
",Металлическая мебель (Шкафы),4,1860.0,850.0,400.0
Архивный шкаф - ШАМ-11,"
 18 658 руб.
",Металлическая мебель (Шкафы),4,1860.0,850.0,500.0
Шкаф офисный ПРАКТИК CB-12,"
 19 288 руб.
",Металлическая мебель (Шкафы),4,1860.0,850.0,400.0
Офисный шкаф ПРАКТИК M-18,"
 19 696 руб.
",Металлическая мебель (Шкафы),4,1830.0,915.0,370.0
Шкаф офисный ПРАКТИК CB-14,"
 21 481 руб.
",Металлическая мебель (Шкафы),4,1860.0,850.0,500.0
Шкаф для офиса AMT 0891,"
 22 379 руб.
",Металлическая мебель (Шкафы),4,832.0,915.0,458.0
Офисный шкаф AM 1891,"
 22 399 руб.
",Металлическая мебель (Шкафы),4,1830.0,915.0,458.0
Архивный шкаф ШАМ-11.К,"
 26 317 руб.
",Металлическая мебель (Шкафы),4,1860.0,960.0,450.0
Офисный шкаф AM 2091,"
 27 540 руб.
",Металлическая мебель (Шкафы),4,1996.0,915.0,458.0
Шкаф офисный ПРАКТИК CB-15,"
 27 540 руб.
",Металлическая мебель (Шкафы),4,2000.0,850.0,500.0
Шкаф для офиса АМТ 0812,"
 29 335 руб.
",Металлическая мебель (Шкафы),4,832.0,1215.0,458.0
Шкаф офисный ПРАКТИК CB-22,"
 30 161 руб.
",Металлическая мебель (Шкафы),4,1900.0,1000.0,500.0
Шкаф для офиса AMT 1891,"
 32 640 руб.
",Металлическая мебель (Шкафы),4,1830.0,915.0,458.0
Офисный шкаф AMT 1812,"
 43 207 руб.
",Металлическая мебель (Шкафы),4,1830.0,1215.0,458.0
